,weights,n_neighbors,leaf_size,algorithm,score,Accuracy,f1_score,Acc_CV,f1_CV
57,uniform,3,2,auto,0.8073088326648697,0.875,0.8571428571428572,0.754920634920635,0.7584938361718547
31,distance,6,6,auto,0.8033390792214323,0.7083333333333334,0.6956521739130435,0.7803174603174604,0.7857993966817497
86,distance,4,6,kd_tree,0.8244410044719644,0.8333333333333334,0.7999999999999999,0.7692063492063492,0.7918751945222535
