,weights,n_neighbors,leaf_size,algorithm,score,Accuracy,f1_score,Acc_CV,f1_CV
57,distance,1,2,auto,0.7897013335248629,0.75,0.75,0.7123809523809523,0.7127403848301681
31,distance,2,1,ball_tree,0.7362419171242699,0.7083333333333334,0.6956521739130435,0.6892063492063493,0.6756532356532357
86,distance,11,8,kd_tree,0.7857932448341657,0.7083333333333334,0.6956521739130435,0.6625396825396824,0.7050654717372983
