,n_estimators,min_samples_split,min_samples_leaf,max_features,score,Accuracy,f1_score,Acc_CV,f1_CV
57,830,2,1,0.05,0.8359820302389963,0.6666666666666666,0.6923076923076923,0.7898412698412698,0.8246861434632334
31,30,2,1,0.2,0.7623778400248987,0.75,0.75,0.7590476190476192,0.7764221073044603
86,130,13,1,0.05,0.7836904203467672,0.75,0.7499999999999999,0.7323809523809522,0.790962164122751
