,kernel,gamma,C,score,Accuracy,f1_score,Acc_CV,f1_CV
57,rbf,0.01,9.34,0.8407193637688994,0.7916666666666666,0.7826086956521738,0.6806349206349206,0.7720528555365008
31,rbf,0.1,9.120000000000001,0.7904575163398693,0.75,0.75,0.6888888888888888,0.7343968581584679
86,rbf,0.01,7.360000000000001,0.7963217089068483,0.7916666666666666,0.761904761904762,0.6438095238095236,0.7608367317062968
