,weights,n_neighbors,leaf_size,algorithm,score,Accuracy,f1_score,Acc_CV,f1_CV
57,distance,12,10,kd_tree,0.8149565943845121,0.5833333333333334,0.6428571428571429,0.6765079365079365,0.7388951955051027
31,distance,20,5,auto,0.7603109079889265,0.7083333333333334,0.7586206896551724,0.5819047619047618,0.6029679969153654
86,distance,11,4,brute,0.7632200214297403,0.625,0.6666666666666666,0.5971428571428572,0.6633595500932963
