,n_estimators,learning_rate,base_estimator,score,Accuracy,f1_score,Acc_CV,f1_CV
57,50,0.067,"DecisionTreeClassifier(max_depth=1, random_state=21)",0.8272365554408899,0.7083333333333334,0.7200000000000001,0.7177777777777777,0.7482289812011175
31,80,0.001,LogisticRegression(random_state=21),0.7600947630514194,0.6666666666666666,0.7142857142857143,0.6577777777777777,0.6667521367521367
86,295,0.0043,LogisticRegression(random_state=21),0.8172365182117506,0.6666666666666666,0.6923076923076924,0.6898412698412699,0.7313570707870075
