,kernel,gamma,C,score,Accuracy,f1_score,Acc_CV,f1_CV
57,rbf,0.001,6.480000000000001,0.8411356823431129,0.625,0.6666666666666667,0.7307936507936508,0.8034720639983799
31,sigmoid,0.001,6.480000000000001,0.7838323750552852,0.625,0.7096774193548387,0.7349206349206349,0.7795438760299441
86,rbf,0.01,0.9800000000000001,0.8160475305393871,0.6666666666666666,0.6923076923076924,0.6946031746031747,0.7758526725763233
