,n_estimators,learning_rate,base_estimator,score,Accuracy,f1_score,Acc_CV,f1_CV
57,500,1.4000000000000001,"DecisionTreeClassifier(max_depth=3, random_state=21)",0.8213943355119825,0.875,0.8571428571428572,0.7076190476190476,0.7329832156147945
31,355,2.0,"DecisionTreeClassifier(max_depth=3, random_state=21)",0.852522325169384,0.75,0.7692307692307692,0.6361904761904762,0.6676455026455027
86,225,0.5,"DecisionTreeClassifier(max_depth=2, random_state=21)",0.7985956721870036,0.7916666666666666,0.761904761904762,0.7006349206349207,0.730508542598326
