,n_estimators,min_samples_split,min_samples_leaf,max_features,score,Accuracy,f1_score,Acc_CV,f1_CV
57,545,2,3,0.05,0.7947133356266485,0.6666666666666666,0.6923076923076923,0.7584126984126983,0.7787749602765082
31,60,7,9,0.05,0.7520328599275967,0.5833333333333334,0.6666666666666667,0.6895238095238094,0.7128273360626302
86,340,2,1,0.9,0.8100259859392988,0.6666666666666666,0.6363636363636364,0.7463492063492064,0.7919117603355053
