Model,AUC_cv,BA_cv,f1_cv,MCC_cv,AUC_t,BA_t,f1_t,MCC_t,algorithm,seed,data,score
M21,0.7944907407407408,0.6820833333333334,0.784178507766743,0.4211662859761543,0.888888888888889,0.8,0.7499999999999999,0.6,rf,86,morgan,8
M22,0.7721296296296296,0.7058333333333333,0.7859869312123989,0.44622096573604886,0.874074074074074,0.7444444444444445,0.6956521739130435,0.4800793585191832,knn,86,morgan,4
M23,0.8205092592592593,0.7681944444444443,0.8064744120688394,0.5561053224742737,0.8518518518518519,0.8111111111111111,0.761904761904762,0.6024640760767094,svm,86,morgan,13
M24,0.7678703703703704,0.68125,0.7906764147445261,0.4320940100868691,0.8592592592592593,0.611111111111111,0.5925925925925926,0.24845199749997662,ada,86,morgan,1
M25,0.8024074074074076,0.7383333333333334,0.7996347240650644,0.5181507460179603,0.8214285714285714,0.7,0.6923076923076923,0.4183300132670378,rf,57,rdkit,6
M26,0.7779166666666667,0.7017857142857143,0.8005849101168792,0.48199782930266627,0.75,0.6285714285714286,0.6428571428571429,0.29277002188455997,knn,57,rdkit,1
M27,0.8199603174603175,0.7596428571428572,0.8367020535140065,0.5920227693070166,0.7714285714285715,0.6642857142857143,0.6666666666666667,0.35638575213064944,svm,57,rdkit,7
M28,0.8255291005291006,0.769404761904762,0.8113623809970558,0.5698715350427359,0.8321428571428572,0.7357142857142858,0.7200000000000001,0.4800793585191832,ada,57,rdkit,8
M29,0.7067984693877553,0.7147619047619047,0.7635621425358267,0.4557501799484489,0.7152777777777778,0.5833333333333334,0.6666666666666667,0.19245008972987526,rf,31,rdkit,-1
M30,0.7977891156462584,0.6817857142857142,0.7519903185909377,0.40354047480658406,0.798611111111111,0.6666666666666666,0.7333333333333334,0.3849001794597505,knn,31,rdkit,3
M31,0.7662925170068026,0.7176785714285714,0.7788028650056513,0.47404299775753983,0.8402777777777778,0.625,0.7096774193548387,0.30779350562554625,svm,31,rdkit,3
M32,0.7803571428571427,0.7035119047619047,0.7666813602634035,0.4443223633489216,0.8194444444444444,0.6666666666666667,0.7142857142857143,0.3535533905932738,ada,31,rdkit,4
M33,0.7973842592592593,0.7522222222222221,0.8107882250188752,0.5351543178191183,0.8444444444444443,0.6888888888888889,0.6363636363636364,0.3670584895244009,rf,86,rdkit,6
M34,0.7628703703703704,0.6426388888888889,0.7780465213059774,0.3686457828845605,0.7407407407407407,0.7,0.6666666666666666,0.4472135954999579,knn,86,rdkit,1
M35,0.7963888888888888,0.7294444444444445,0.8149853620527331,0.5254389000179747,0.837037037037037,0.7333333333333334,0.6923076923076924,0.4970501217477084,svm,86,rdkit,6
M36,0.7833333333333331,0.7391666666666667,0.8126485599024298,0.5310041901860477,0.8518518518518519,0.7333333333333334,0.6923076923076924,0.4970501217477084,ada,86,rdkit,6
