,kernel,gamma,C,score,Accuracy,f1_score,Acc_CV,f1_CV
57,rbf,0.1,9.120000000000001,0.8031009713827052,0.75,0.7692307692307693,0.8050793650793652,0.8137074420820551
31,rbf,0.01,9.34,0.8096918893513323,0.7916666666666666,0.7826086956521738,0.7914285714285716,0.8126081543728603
86,rbf,0.1,1.2,0.8460418425743504,0.7083333333333334,0.6956521739130435,0.7780952380952382,0.8126034858387801
