,n_estimators,learning_rate,base_estimator,score,Accuracy,f1_score,Acc_CV,f1_CV
57,470,1.6,"DecisionTreeClassifier(max_depth=3, random_state=21)",0.8454590725178962,0.7916666666666666,0.7826086956521738,0.7526984126984126,0.7894391206775108
31,150,2.0,"DecisionTreeClassifier(max_depth=3, random_state=21)",0.8105955373602431,0.6666666666666666,0.6666666666666666,0.6711111111111112,0.6640898523561062
86,325,0.0109,LogisticRegression(random_state=21),0.7917423535070595,0.5416666666666666,0.5925925925925926,0.6358730158730158,0.6767160851990573
